iter	RMSE
0	111261.0933
1	107448.4381
2	103906.0756
3	100624.3867
4	97606.12401
5	94924.19215
6	92308.78872
7	90002.142
8	87935.36585
9	85998.02346
10	84151.72983
11	82557.57253
12	81084.43002
13	79748.48102
14	78465.14965
15	77313.94497
16	76235.55089
17	75244.29334
18	74363.03462
19	73463.73107
20	72710.04179
21	72056.85884
22	71418.87255
23	70847.20302
24	70278.98929
25	69730.63008
26	69228.22924
27	68760.26211
28	68049.00417
29	67450.1885
30	67029.46734
31	66653.41666
32	66199.66753
33	65781.82468
34	65413.32479
35	65093.66603
36	64820.33477
37	64563.5346
38	64116.72493
39	63921.70856
40	63604.23768
41	63403.57617
42	63147.02548
43	62899.90021
44	62686.72274
45	62300.53491
46	62073.06611
47	61817.15772
48	61492.78763
49	61269.11772
50	61047.09177
51	60829.69633
52	60667.26916
53	60335.05885
54	60066.75922
55	59862.27366
56	59693.37989
57	59446.93216
58	59322.9807
59	59144.51905
60	59002.57098
61	58862.87119
62	58681.50479
63	58493.88897
64	58355.13084
65	58228.8126
66	58096.45296
67	57991.5774
68	57758.25301
69	57484.77452
70	57364.20666
71	57257.99634
72	57154.44903
73	57055.59936
74	56955.13126
75	56786.5648
76	56591.6132
77	56501.56251
78	56381.41489
79	56287.16115
80	56144.80892
81	56048.4056
82	55930.89887
83	55848.39303
84	55772.74556
85	55692.18703
86	55607.71661
87	55512.28991
88	55420.86334
89	55313.77489
90	55238.58688
91	55117.80778
92	54996.43445
93	54931.40708
94	54813.08153
95	54765.07139
96	54717.62851
97	54623.07132
98	54543.18338
99	54434.87487
100	54350.58285
101	54285.08698
102	54211.53915
103	54159.29847
104	54054.89489
105	53972.13653
106	53893.16824
107	53842.15301
108	53656.83773
109	53571.25131
110	53449.98236
111	53372.12472
112	53242.79681
113	53099.46304
114	53003.57872
115	52958.60865
116	52920.15375
117	52856.21334
118	52774.92151
119	52712.96134
120	52642.85055
121	52590.27242
122	52485.94604
123	52393.4784
124	52333.71833
125	52291.04614
126	52191.1224
127	52144.30133
128	52082.74706
129	52021.49517
130	51964.73349
131	51892.61947
132	51850.78036
133	51774.67953
134	51727.7251
135	51671.62741
136	51637.1942
137	51566.59951
138	51517.11044
139	51470.36615
140	51400.90775
141	51330.24252
142	51294.15118
143	51242.85408
144	51193.79213
145	51162.96356
146	51123.54601
147	51065.834
148	51035.76809
149	50985.14625
150	50886.09856
151	50837.36057
152	50791.16953
153	50760.28294
154	50701.62265
155	50662.72355
156	50626.14429
157	50553.73333
158	50502.71777
159	50464.83094
160	50422.36875
161	50376.60322
162	50345.76434
163	50216.43663
164	50160.24585
165	50098.0319
166	50037.19678
167	50004.21945
168	49975.7804
169	49898.07104
170	49842.91095
171	49808.20669
172	49735.15637
173	49654.29461
174	49593.81988
175	49537.89374
176	49506.19355
177	49449.47388
178	49422.05989
179	49370.41278
180	49336.17546
181	49280.77875
182	49252.50321
183	49146.32358
184	49110.18389
185	49077.32512
186	49051.6236
187	49022.48138
188	48986.3924
189	48941.38033
190	48886.10532
191	48832.51157
192	48786.15643
193	48726.18881
194	48677.28747
195	48624.30657
196	48587.50214
197	48557.39963
198	48490.99125
199	48414.75182
200	48354.29983
201	48331.92167
202	48273.79123
203	48242.60083
204	48176.4673
205	48120.90668
206	48091.51445
207	48046.27212
208	48004.65463
209	47961.64538
210	47899.84579
211	47849.57988
212	47829.24355
213	47797.13016
214	47752.28595
215	47726.1106
216	47669.25041
217	47628.49484
218	47585.70352
219	47566.12482
220	47514.17974
221	47478.31634
222	47444.41539
223	47409.43497
224	47360.30995
225	47314.00081
226	47286.60449
227	47248.60205
228	47221.22528
229	47197.42757
230	47167.87709
231	47139.61191
232	47110.47135
233	47072.41464
234	47023.08781
235	47002.06634
236	46977.74877
237	46954.09716
238	46916.27137
239	46887.98278
240	46854.58741
241	46824.57649
242	46799.25285
243	46782.49009
244	46756.98724
245	46715.00901
246	46675.8263
247	46645.52142
248	46611.06262
249	46588.53005
250	46545.99101
251	46526.5301
252	46498.73609
253	46465.05808
254	46429.27098
255	46410.98818
256	46373.78451
257	46335.18963
258	46305.86947
259	46276.7307
260	46254.04781
261	46219.59772
262	46203.69953
263	46168.32527
264	46124.75682
265	46097.55037
266	46070.89745
267	46029.70304
268	46000.41197
269	45971.42161
270	45955.19727
271	45930.97864
272	45913.29929
273	45892.82194
274	45868.55876
275	45834.94617
276	45816.72453
277	45790.71222
278	45773.6405
279	45742.80965
280	45706.50786
281	45687.57668
282	45652.70311
283	45613.7564
284	45582.32097
285	45551.87714
286	45530.73023
287	45495.74126
288	45476.92972
289	45444.64627
290	45423.34922
291	45403.36231
292	45379.56739
293	45361.10195
294	45339.68295
295	45322.23249
296	45300.32747
297	45279.02045
298	45260.95858
299	45241.00061
300	45218.63876
301	45191.3201
302	45173.416
303	45154.18313
304	45125.37911
305	45108.55398
306	45074.83411
307	45050.23462
308	45025.70352
309	45002.96928
310	44974.30474
311	44946.44612
312	44924.84846
313	44896.97433
314	44881.88141
315	44862.54614
316	44834.98673
317	44822.47011
318	44789.92732
319	44773.74002
320	44741.69403
321	44714.04896
322	44692.91418
323	44679.70398
324	44654.409
325	44624.4144
326	44597.72425
327	44583.38973
328	44565.96179
329	44535.0306
330	44507.60003
331	44494.83955
332	44470.67404
333	44445.69015
334	44423.33736
335	44401.88063
336	44373.23576
337	44336.01017
338	44311.55175
339	44294.79894
340	44280.49438
341	44260.55143
342	44235.64649
343	44215.80063
344	44198.37084
345	44182.32227
346	44143.78204
347	44121.03855
348	44106.07201
349	44081.308
350	44048.27085
351	44022.23638
352	44006.74614
353	43985.9182
354	43968.66053
355	43926.61123
356	43899.32271
357	43874.61481
358	43861.38236
359	43844.53658
360	43832.04506
361	43813.76311
362	43784.45438
363	43763.78748
364	43738.48107
365	43727.56151
366	43713.05438
367	43702.24124
368	43681.63349
369	43654.73877
370	43625.92457
371	43606.5358
372	43584.7079
373	43569.25532
374	43550.15902
375	43539.23963
376	43522.45265
377	43501.49967
378	43478.74861
379	43452.80258
380	43436.45223
381	43415.07048
382	43398.05869
383	43373.70055
384	43345.78621
385	43329.42224
386	43312.82457
387	43302.21743
388	43274.00826
389	43253.43037
390	43227.63974
391	43218.70204
392	43195.28688
393	43181.08394
394	43158.73446
395	43145.72034
396	43128.24654
397	43099.81432
398	43084.52373
399	43075.56504
400	43063.39886
401	43050.62011
402	43028.44623
403	43013.61019
404	42999.22488
405	42972.88321
406	42950.9895
407	42928.99202
408	42907.06476
409	42890.08757
410	42868.8741
411	42854.08159
412	42840.36113
413	42812.72203
414	42797.72991
415	42786.03652
416	42766.37353
417	42753.07286
418	42729.24794
419	42701.5067
420	42686.30646
421	42671.25794
422	42649.23453
423	42627.95006
424	42606.82209
425	42597.27583
426	42583.74221
427	42560.83768
428	42543.61551
429	42525.94196
430	42496.13313
431	42479.8717
432	42462.21578
433	42440.47105
434	42428.88328
435	42405.64142
436	42381.99504
437	42374.97587
438	42359.38663
439	42334.79477
440	42302.97507
441	42286.17656
442	42270.7315
443	42256.98419
444	42245.58931
445	42226.10286
446	42207.57564
447	42199.03734
448	42183.80056
449	42159.93507
450	42140.36573
451	42123.52161
452	42113.258
453	42104.41552
454	42092.05862
455	42062.22694
456	42038.19325
457	42019.30639
458	42000.92789
459	41984.21514
460	41970.79685
461	41940.52824
462	41923.6986
463	41905.63862
464	41882.8118
465	41864.47264
466	41853.09806
467	41834.51859
468	41817.97536
469	41800.29556
470	41784.11381
471	41771.4212
472	41750.16174
473	41735.76665
474	41715.89487
475	41694.94274
476	41676.45611
477	41657.24059
478	41634.1528
479	41625.96921
480	41605.83027
481	41589.85127
482	41563.31659
483	41549.00764
484	41538.5006
485	41512.27474
486	41497.23799
487	41484.53527
488	41461.88965
489	41447.92077
490	41432.86399
491	41415.40927
492	41399.96224
493	41384.19147
494	41366.22886
495	41352.3978
496	41340.86735
497	41323.6963
498	41306.9511
499	41286.62194
500	41265.57755
501	41249.10612
502	41235.67806
503	41220.04522
504	41210.93951
505	41191.83357
506	41174.18561
507	41162.01988
508	41150.42602
509	41129.51741
510	41117.11033
511	41104.28892
512	41090.65148
513	41077.30622
514	41064.3143
515	41046.80956
516	41034.26734
517	41013.84848
518	41003.42084
519	40983.96218
520	40960.27671
521	40944.6261
522	40928.50943
523	40906.28293
524	40896.17933
525	40872.87514
526	40861.78511
527	40845.9435
528	40827.07811
529	40818.60648
530	40797.79962
531	40785.69246
532	40769.12331
533	40758.38264
534	40751.24496
535	40740.76781
536	40721.39258
537	40705.62566
538	40688.72445
539	40671.90578
540	40660.37312
541	40647.99078
542	40635.65245
543	40625.26169
544	40617.06092
545	40607.1145
546	40592.71034
547	40580.81755
548	40572.78902
549	40560.13953
550	40544.64469
551	40529.97707
552	40507.3461
553	40493.58124
554	40487.54032
555	40477.221
556	40464.32718
557	40450.40932
558	40438.79444
559	40414.34244
560	40401.48365
561	40393.07183
562	40380.73017
563	40371.37907
564	40363.52597
565	40350.0445
566	40335.20691
567	40323.22348
568	40307.41054
569	40300.14357
570	40287.58202
571	40274.28341
572	40262.81678
573	40251.89257
574	40240.7763
575	40230.635
576	40215.59655
577	40206.26823
578	40188.75327
579	40179.73375
580	40168.00905
581	40153.38791
582	40137.69976
583	40126.65692
584	40115.38153
585	40094.95712
586	40079.23641
587	40067.04799
588	40051.49971
589	40040.85334
590	40032.90113
591	40018.57582
592	40007.83188
593	39990.63435
594	39981.9211
595	39963.59096
596	39942.63074
597	39930.90475
598	39917.15247
599	39909.53254
600	39892.14681
601	39873.59127
602	39855.7403
603	39843.49632
604	39832.76379
605	39821.31811
606	39813.29117
607	39799.39222
608	39787.06832
609	39781.03712
610	39765.09501
611	39748.24741
612	39727.7433
613	39721.96708
614	39710.06712
615	39700.98631
616	39687.1873
617	39672.86786
618	39653.47643
619	39643.83115
620	39625.25184
621	39614.90758
622	39605.9766
623	39591.05522
624	39581.17492
625	39567.83356
626	39555.76253
627	39543.94447
628	39530.57649
629	39516.08193
630	39505.61687
631	39493.07372
632	39483.51426
633	39471.96324
634	39457.82362
635	39448.53897
636	39439.2041
637	39422.61779
638	39415.08606
639	39403.94345
640	39387.46328
641	39379.42491
642	39367.91866
643	39354.22801
644	39343.04445
645	39329.10996
646	39316.95
647	39307.34679
648	39298.12896
649	39286.49884
650	39275.73863
651	39264.04522
652	39245.42497
653	39230.4833
654	39214.20295
655	39198.16252
656	39186.58176
657	39179.93696
658	39173.43262
659	39160.11657
660	39153.03631
661	39143.11759
662	39125.07704
663	39111.40583
664	39104.41562
665	39088.6851
666	39075.16099
667	39062.36112
668	39051.3375
669	39041.62807
670	39030.76819
671	39021.38386
672	39011.49699
673	39000.73724
674	38987.25569
675	38976.05546
676	38963.94271
677	38956.23455
678	38943.67358
679	38927.67147
680	38918.27807
681	38910.61526
682	38900.00187
683	38893.98176
684	38887.64064
685	38872.10369
686	38862.56464
687	38850.1342
688	38841.71153
689	38830.30575
690	38822.67382
691	38808.27451
692	38794.03457
693	38780.28202
694	38767.24634
695	38756.81813
696	38742.45868
697	38731.8134
698	38719.68542
699	38707.20998
700	38692.51713
701	38666.80746
702	38653.42655
703	38641.31226
704	38629.65358
705	38619.14538
706	38601.70933
707	38589.85613
708	38577.00515
709	38569.60045
710	38557.71161
711	38548.33513
712	38533.06947
713	38527.42359
714	38521.18597
715	38509.42833
716	38496.89437
717	38481.07063
718	38464.88641
719	38455.41993
720	38445.4803
721	38437.39897
722	38430.7357
723	38418.95754
724	38409.90699
725	38403.55462
726	38390.43773
727	38381.23913
728	38375.42003
729	38365.326
730	38358.21806
731	38351.6606
732	38339.28439
733	38332.22533
734	38320.80305
735	38303.35688
736	38294.2914
737	38278.23482
738	38272.02832
739	38265.64322
740	38257.83444
741	38250.11405
742	38241.22786
743	38231.31308
744	38216.02849
745	38196.19687
746	38181.34256
747	38170.42491
748	38162.93321
749	38146.11997
750	38129.05538
751	38122.14515
752	38113.01345
753	38106.15866
754	38099.27916
755	38088.7775
756	38078.97719
757	38069.10952
758	38053.52487
759	38041.49907
760	38036.29796
761	38024.82957
762	38015.62308
763	38006.96698
764	37997.99552
765	37989.05864
766	37978.35777
767	37964.12077
768	37953.19214
769	37941.95305
770	37935.58508
771	37913.29451
772	37895.28705
773	37885.04209
774	37876.40328
775	37869.06066
776	37858.10106
777	37845.84033
778	37833.71779
779	37825.63674
780	37812.75475
781	37802.98585
782	37791.63948
783	37787.02979
784	37778.34852
785	37766.39021
786	37753.77576
787	37743.32033
788	37735.69109
789	37728.4513
790	37718.17985
791	37705.58958
792	37694.24116
793	37684.76479
794	37674.30923
795	37665.70393
796	37657.92777
797	37649.83374
798	37639.11181
799	37628.02998
800	37618.60993
801	37605.29678
802	37593.47878
803	37574.9605
804	37564.10089
805	37556.60486
806	37540.85356
807	37529.87977
808	37519.21741
809	37511.3689
810	37500.304
811	37491.16638
812	37485.44697
813	37472.75932
814	37467.3741
815	37457.27044
816	37447.11392
817	37441.15998
818	37429.5058
819	37418.5223
820	37408.24817
821	37393.87672
822	37384.64077
823	37370.41831
824	37360.63829
825	37347.51578
826	37340.05676
827	37329.78478
828	37321.33835
829	37306.1486
830	37300.23631
831	37287.21334
832	37276.56616
833	37266.88813
834	37253.87685
835	37242.98077
836	37228.89367
837	37220.78024
838	37212.36102
839	37201.68913
840	37192.3434
841	37189.36803
842	37177.42574
843	37170.33605
844	37158.22566
845	37144.73828
846	37141.31878
847	37128.17486
848	37117.57759
849	37109.15815
850	37097.36351
851	37089.86122
852	37077.74829
853	37074.81537
854	37067.60268
855	37053.95966
856	37036.40192
857	37024.57049
858	37017.28279
859	37005.98861
860	37000.47501
861	36990.03855
862	36980.19068
863	36966.56541
864	36961.14173
865	36954.16765
866	36948.00635
867	36937.0446
868	36924.83211
869	36915.59161
870	36906.45149
871	36899.16226
872	36888.66627
873	36886.06236
874	36878.68018
875	36870.91126
